Approach,Revenue ($/h),V_02_Temp,T_01_Reb,T_02_RR,T_02_Reb,T_03_Reb
SLSQP (original),663.85,-33.0,63.53,4.31,15.96,48.0
Back-off 1%,663.76,-33.0,63.38,4.31,15.91,47.96
Back-off 2%,663.66,-33.0,63.24,4.31,15.85,47.93
Back-off 3%,663.56,-33.0,63.09,4.31,15.8,47.9
Penalised α=0.01,651.17,-28.98,61.41,4.35,15.13,46.68
Penalised α=0.05,651.51,-28.99,62.05,4.36,14.89,47.13
Penalised α=0.10,651.5,-28.99,62.04,4.33,14.94,47.01
Two-stage 99.5%,660.53,-32.78,60.0,4.32,13.45,47.32
Two-stage 99.0%,657.89,-31.77,60.0,4.32,13.85,47.41
Two-stage 95.0%,656.46,-31.19,60.07,4.33,14.0,47.51
