,V_02_Temp,T_01_Reb,T_02_RR,T_02_Reb,T_03_Reb,Revenue,SG_C1,LPG_C2,LPG_C5,NG_RVP
V_02_Temp,1.0000,0.7639,-0.0129,0.4364,-0.0062,-0.9837,-0.9793,-0.6611,0.3868,-0.4629
T_01_Reb,0.7639,1.0000,0.0017,0.4591,0.2303,-0.8413,-0.8694,-0.9703,0.4328,-0.4572
T_02_RR,-0.0129,0.0017,1.0000,0.0018,-0.0047,0.0106,0.0075,-0.0076,-0.0283,-0.0070
T_02_Reb,0.4364,0.4591,0.0018,1.0000,0.3799,-0.5469,-0.4458,-0.5038,0.7636,-0.9760
T_03_Reb,-0.0062,0.2303,-0.0047,0.3799,1.0000,-0.0522,-0.0187,-0.1531,0.2775,-0.3030
Revenue,-0.9837,-0.8413,0.0106,-0.5469,-0.0522,1.0000,0.9900,0.7666,-0.4745,0.5701
SG_C1,-0.9793,-0.8694,0.0075,-0.4458,-0.0187,0.9900,1.0000,0.7906,-0.4003,0.4706
LPG_C2,-0.6611,-0.9703,-0.0076,-0.5038,-0.1531,0.7666,0.7906,1.0000,-0.4368,0.5167
LPG_C5,0.3868,0.4328,-0.0283,0.7636,0.2775,-0.4745,-0.4003,-0.4368,1.0000,-0.6500
NG_RVP,-0.4629,-0.4572,-0.0070,-0.9760,-0.3030,0.5701,0.4706,0.5167,-0.6500,1.0000
